group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Moderator,"Moderator :: Generate ""100"" tokens",,,,28761042.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28680091.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28779812.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28694112.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28806747.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28666654.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28686861.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28717025.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28780533.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28753541.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28861814.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28743345.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28764076.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28690801.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28688131.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28741484.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28764332.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28729967.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28865774.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28702292.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28761084.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28679764.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28712629.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28777837.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28696868.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28746534.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28691629.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28756048.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28690197.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28700142.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28707581.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28760416.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28708841.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28782329.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28716855.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28692511.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28733629.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28707995.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28701848.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28728306.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28703741.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28763333.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28692433.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28704234.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28707947.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28717937.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28763401.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28760171.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28745297.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28708062.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28879412.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28730981.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28728067.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28746199.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28708128.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28695623.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28728012.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28747234.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28750729.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28702293.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28840161.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28780559.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28834304.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28742498.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28711617.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28726438.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28712816.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28681662.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28867491.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28736035.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28684810.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28718752.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28703273.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28731621.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28667716.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28809073.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28720707.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28820838.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28791250.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28804996.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28769210.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28696280.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28792841.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28800672.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28777429.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28898167.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28819641.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28722710.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28727674.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28757555.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28703884.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28686144.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28793876.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28668972.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28704254.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28740016.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28709523.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28706541.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28737734.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28677194.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28716322.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28748086.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28668563.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28690706.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28720215.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28722460.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28769212.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28727926.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28706611.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28712771.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28706392.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28718590.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28684168.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28784899.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28702502.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28908523.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28744198.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28708568.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28741075.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28780661.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28761751.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28694314.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28712016.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28732022.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28874886.0,ns,1
Moderator,"Moderator :: Generate ""100"" tokens",,,,28677490.0,ns,1
