group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Moderator,"Moderator :: Generate ""1"" tokens",,,,16998399.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16943402.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16916161.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16940652.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16874236.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16868280.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16917240.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16970540.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16902277.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16915774.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16883462.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16986404.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16885722.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16894622.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16898651.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16930637.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16876431.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16888277.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16896065.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16890656.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16870945.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16907002.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16886043.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16871980.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16942410.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16902637.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16881389.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16901434.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16895717.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16879608.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16888720.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16897669.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16885698.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16898852.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16907619.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16896500.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16898828.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16907550.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16891209.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16908028.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16882205.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16929469.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16950233.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16877438.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16868177.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16860166.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16921213.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16871897.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16892437.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16881158.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16959858.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16909914.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16888473.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16893194.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16903445.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16922437.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16947177.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,17021731.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16923788.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16889411.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16953169.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16899923.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16908511.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16883796.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16909179.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16903094.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16893139.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16911763.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16873759.0,ns,59
Moderator,"Moderator :: Generate ""1"" tokens",,,,16871457.0,ns,59
