group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Moderator,Moderator :: Inspect and Trace ,,,,16955383.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16937152.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16939030.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16929916.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16937691.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16962184.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16940169.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16954985.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16984980.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16929490.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16936762.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16944291.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16940333.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16949033.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16959088.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16948401.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16960781.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16953669.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16958667.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16967768.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16975604.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16962498.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16966947.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16955098.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16977837.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16931927.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,17010411.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16922439.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16923098.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16914916.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16937604.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16936485.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16923650.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,17017036.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16926258.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16933691.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16981899.0,ns,48
Moderator,Moderator :: Inspect and Trace ,,,,16958358.0,ns,48
