group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Platform,Sign and Timestamp ,,,,476737.0,ns,2
Platform,Sign and Timestamp ,,,,860144.0,ns,4
Platform,Sign and Timestamp ,,,,1290500.0,ns,6
Platform,Sign and Timestamp ,,,,1735226.0,ns,8
Platform,Sign and Timestamp ,,,,2150089.0,ns,10
Platform,Sign and Timestamp ,,,,2595136.0,ns,12
Platform,Sign and Timestamp ,,,,3016129.0,ns,14
Platform,Sign and Timestamp ,,,,3445277.0,ns,16
Platform,Sign and Timestamp ,,,,3882073.0,ns,18
Platform,Sign and Timestamp ,,,,4321298.0,ns,20
Platform,Sign and Timestamp ,,,,4832988.0,ns,22
Platform,Sign and Timestamp ,,,,5195906.0,ns,24
Platform,Sign and Timestamp ,,,,5617292.0,ns,26
Platform,Sign and Timestamp ,,,,6023629.0,ns,28
Platform,Sign and Timestamp ,,,,6466922.0,ns,30
Platform,Sign and Timestamp ,,,,6903824.0,ns,32
Platform,Sign and Timestamp ,,,,7363568.0,ns,34
Platform,Sign and Timestamp ,,,,7788166.0,ns,36
Platform,Sign and Timestamp ,,,,8217336.0,ns,38
Platform,Sign and Timestamp ,,,,8622433.0,ns,40
Platform,Sign and Timestamp ,,,,9052063.0,ns,42
Platform,Sign and Timestamp ,,,,9483662.0,ns,44
Platform,Sign and Timestamp ,,,,9914975.0,ns,46
Platform,Sign and Timestamp ,,,,10357114.0,ns,48
Platform,Sign and Timestamp ,,,,10780623.0,ns,50
Platform,Sign and Timestamp ,,,,11245624.0,ns,52
Platform,Sign and Timestamp ,,,,11633384.0,ns,54
Platform,Sign and Timestamp ,,,,12063068.0,ns,56
Platform,Sign and Timestamp ,,,,12515627.0,ns,58
Platform,Sign and Timestamp ,,,,12925314.0,ns,60
Platform,Sign and Timestamp ,,,,13378787.0,ns,62
Platform,Sign and Timestamp ,,,,13797400.0,ns,64
Platform,Sign and Timestamp ,,,,14224340.0,ns,66
Platform,Sign and Timestamp ,,,,14674575.0,ns,68
Platform,Sign and Timestamp ,,,,15089728.0,ns,70
Platform,Sign and Timestamp ,,,,15510265.0,ns,72
Platform,Sign and Timestamp ,,,,15964850.0,ns,74
Platform,Sign and Timestamp ,,,,16374366.0,ns,76
Platform,Sign and Timestamp ,,,,16813983.0,ns,78
Platform,Sign and Timestamp ,,,,17248277.0,ns,80
Platform,Sign and Timestamp ,,,,17682764.0,ns,82
Platform,Sign and Timestamp ,,,,18148064.0,ns,84
Platform,Sign and Timestamp ,,,,18523263.0,ns,86
Platform,Sign and Timestamp ,,,,19026337.0,ns,88
Platform,Sign and Timestamp ,,,,19360899.0,ns,90
Platform,Sign and Timestamp ,,,,19834481.0,ns,92
Platform,Sign and Timestamp ,,,,20261707.0,ns,94
Platform,Sign and Timestamp ,,,,20693342.0,ns,96
Platform,Sign and Timestamp ,,,,21131394.0,ns,98
Platform,Sign and Timestamp ,,,,21588778.0,ns,100
Platform,Sign and Timestamp ,,,,21996175.0,ns,102
Platform,Sign and Timestamp ,,,,22425156.0,ns,104
Platform,Sign and Timestamp ,,,,22850186.0,ns,106
Platform,Sign and Timestamp ,,,,23297189.0,ns,108
Platform,Sign and Timestamp ,,,,23698312.0,ns,110
Platform,Sign and Timestamp ,,,,24187203.0,ns,112
