group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sender,"Frank :: Plaintext Size ""10000""B",,,,16925923.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16910899.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16894369.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16908799.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16890409.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16902528.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16900221.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16892630.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16895303.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16878610.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16880220.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16948973.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16897555.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16942857.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16979200.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16934091.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16922088.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16900320.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16883151.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16953826.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16941015.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16886680.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16869175.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16875165.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16983264.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16950186.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16893277.0,ns,59
Sender,"Frank :: Plaintext Size ""10000""B",,,,16885085.0,ns,59
